"","year","party","winner_party","seats","Other_seats","votes","total_votes","majorvote_pct"
"1",1948,"R","D",171,17,21613079,49560252,46.6
"2",1948,"D","D",263,17,24762972,49560252,53.4
"3",1950,"R","R",199,16,20925177,44050445,50.29
"4",1950,"D","R",234,16,20681636,44050445,49.71
"5",1952,"R","D",221,19,28860092,61803866,48.82
"6",1952,"D","D",213,19,30255614,61803866,51.18
"7",1954,"R","D",203,7,21092608,45251283,47.6
"8",1954,"D","D",232,7,23223158,45251283,52.4
"9",1956,"R","D",201,9,29829376,62457894,48.75
"10",1956,"D","D",234,9,31354867,62457894,51.25
"11",1958,"R","D",153,11,20435025,46851436,45.03
"12",1958,"D","D",283,11,24943266,46851436,54.97
"13",1960,"R","D",175,5,29445993,65678881,45.65
"14",1960,"D","D",262,5,35060186,65678881,54.35
"15",1962,"R","D",176,5,29161465,62760124,47.13
"16",1962,"D","D",258,5,32713542,62760124,52.87
"17",1964,"R","D",140,4,30997556,73565373,42.73
"18",1964,"D","D",295,4,41545599,73565373,57.27
"19",1966,"R","D",187,3,25700061,53199376,49.14
"20",1966,"D","D",248,3,26596037,53199376,50.86
"21",1968,"R","D",192,0,32183586,66455377,49.08
"22",1968,"D","D",243,0,33395717,66455377,50.92
"23",1970,"R","D",180,0,24414855,54147415,45.78
"24",1970,"D","D",255,0,28921540,54147415,54.22
"25",1972,"R","D",192,1,33160947,71254917,47.18
"26",1972,"D","D",242,1,37120058,71254917,52.82
"27",1974,"R","D",144,0,21286921,52324462,41.43
"28",1974,"D","D",291,0,30089520,52324462,58.57
"29",1976,"R","D",143,0,31241822,74256718,42.81
"30",1976,"D","D",292,0,41742193,74256718,57.19
"31",1978,"R","D",158,0,24891165,55261245,45.69
"32",1978,"D","D",277,0,29587800,55261245,54.31
"33",1980,"R","D",192,1,37320299,77865321,48.72
"34",1980,"D","D",242,1,39289061,77865321,51.28
"35",1982,"R","D",166,1,27796580,64362196,43.85
"36",1982,"D","D",269,1,35588614,64362196,56.15
"37",1984,"R","D",182,0,38894020,82995246,47.28
"38",1984,"D","D",253,0,43371948,82995246,52.72
"39",1986,"R","D",177,0,26599585,59899733,44.81
"40",1986,"D","D",258,0,32758176,59899733,55.19
"41",1988,"R","D",175,0,37305980,82022316,46
"42",1988,"D","D",260,0,43793276,82022316,54
"43",1990,"R","D",167,1,28052184,62407173,45.91
"44",1990,"D","D",267,1,33052166,62407173,54.09
"45",1992,"R","D",176,1,43257458,95216606,47.14
"46",1992,"D","D",258,1,48511831,95216606,52.86
"47",1994,"R","R",230,1,37099921,70763202,53.59
"48",1994,"D","R",204,1,32124517,70763202,46.41
"49",1996,"R","D",226,2,42842236,88217606,49.84
"50",1996,"D","D",207,2,43110112,88217606,50.16
"51",1998,"R","R",223,1,32254557,65896772,50.61
"52",1998,"D","R",211,1,31482036,65896772,49.39
"53",2000,"R","R",221,2,46954281,97226268,50.23
"54",2000,"D","R",212,2,46520851,97226268,49.77
"55",2002,"R","R",229,1,37387921,73449133,52.55
"56",2002,"D","R",204,1,33758288,73449133,47.45
"57",2004,"R","R",232,1,55956623,111619190,51.37
"58",2004,"D","R",202,1,52971423,111619190,48.63
"59",2006,"R","D",202,0,35884573,80051355,45.91
"60",2006,"D","D",233,0,42281320,80051355,54.09
"61",2008,"R","D",178,0,52187151,120720320,44.44
"62",2008,"D","D",256,0,65247248,120720320,55.56
"63",2010,"R","R",242,0,43288427,83583446,53.47
"64",2010,"D","R",193,0,37663261,83583446,46.53
"65",2012,"R","D",234,0,58141241,121136773,49.39
"66",2012,"D","D",200,0,59586011,121136773,50.61
"67",2014,"R","R",247,0,40029863,77889271,52.91
"68",2014,"D","R",188,0,35628989,77889271,47.09
"69",2016,"R","R",241,0,62977862,128377310,50.5
"70",2016,"D","R",194,0,61730626,128377310,49.5
"71",2018,"R","D",199,0,51117086,113985831,45.65
"72",2018,"D","D",235,0,60860585,113985831,54.35
"73",2020,"R","D",212,0,72916809,152701256,48.5
"74",2020,"D","D",222,0,77430912,152701256,51.5
